PassengerID,Survived
1044,0
1264,0
1158,0
913,0
1025,0
1008,0
1124,0
1183,1
893,0
1055,0
1103,0
1217,0
911,1
909,0
1129,0
1166,0
1063,0
1203,0
1028,0
1224,0
919,0
1184,0
1065,0
1180,0
1231,0
1213,0
927,0
1239,1
1229,0
900,1
1307,0
1288,0
1015,0
1178,0
1177,0
1005,1
1047,0
1147,0
1159,0
1062,0
1204,0
1233,0
898,1
1237,0
949,0
1300,1
955,1
1052,1
1291,0
1207,1
1148,0
962,1
1250,0
1016,0
1013,0
1205,0
954,0
1196,1
971,1
1163,0
1174,1
999,0
1272,0
1302,1
1075,0
1280,0
939,0
980,1
994,0
1119,1
1098,0
1106,1
1151,0
1212,0
983,0
1304,1
1089,1
1278,0
995,0
1192,0
1290,0
1003,1
1118,0
1018,0
987,0
1115,0
998,0
892,0
934,0
990,1
1153,0
1127,0
1087,0
1191,0
1210,0
1027,0
1049,1
958,1
1273,0
978,1
1108,1
1125,0
1249,0
1135,0
1187,0
1043,0
1101,0
1157,0
1026,0
1226,0
975,0
952,0
948,0
963,0
902,0
937,0
1143,0
989,0
910,1
964,1
968,0
1149,0
1305,0
1160,0
1079,0
1181,0
1030,0
979,0
1039,0
1022,0
1111,0
1113,0
1021,0
991,0
1308,0
985,0
928,0
1091,0
996,0
1202,0
895,0
1255,0
1161,0
929,0
1172,0
1195,0
1268,0
1000,0
1061,0
897,0
1145,0
1199,1
1186,0
930,0
1146,0
894,0
1099,0
1298,0
1171,0
1285,0
1096,0
1090,0
1114,1
1168,0
1232,0
1209,0
1243,0
976,0
1262,0
1269,0
1045,1
1155,1
896,0
908,0
1085,0
1156,1
1276,0
1150,1
1221,0
1056,0
1029,0
1020,0
1279,0
1228,0
1238,0
935,1
1214,0
1081,0
1265,0
1121,0
970,0
1130,1
1001,0
1072,0
932,0
1240,0
1054,1
953,0
1173,1
1301,1
1051,1
1261,1
1112,1
1297,0
1064,0
982,1
1201,0
1093,1
977,0
1007,0
1141,0
1258,0
1084,1
1236,0
917,0
1274,0
943,0
1193,0
1002,0
1120,0
1175,0
1053,1
1117,1
972,1
1165,1
1092,1
1251,1
946,0
1225,1
1012,1
941,1
1077,0
1017,1
950,0
1275,1
1009,1
1152,0
1037,0
1176,1
1284,1
1246,1
924,1
1138,1
1241,1
1194,0
957,1
1293,0
1078,1
1170,0
1254,1
1281,0
1189,0
921,0
1057,1
1286,0
1309,1
1102,0
997,0
981,1
1154,1
944,1
1019,1
1136,0
925,1
901,1
1024,0
969,1
1097,0
1095,1
986,0
1105,1
1011,1
1082,0
1227,0
1220,0
993,0
1083,0
1167,1
922,0
1140,1
903,0
905,0
1041,0
1169,0
1035,0
1247,1
974,0
1123,1
1040,1
1036,1
1050,1
1215,1
933,1
1197,1
1116,1
1100,1
1296,1
1132,1
907,1
965,0
1060,1
1142,1
1023,0
960,0
899,0
947,0
1223,1
938,1
1133,1
920,1
1271,0
1066,0
1046,0
1211,0
923,0
1230,0
1004,1
914,1
1086,1
1139,0
1059,0
1068,1
1222,1
1253,1
1218,1
1067,1
1070,1
1283,1
1182,0
1259,1
1188,1
959,0
1107,0
1190,0
1032,0
1031,0
1295,0
1270,0
1058,0
1248,1
1038,0
1137,1
984,1
936,1
1074,1
1256,1
1069,1
992,1
931,1
926,1
1014,1
912,0
1294,1
1260,1
942,0
1287,1
906,1
915,0
918,1
1242,1
1277,1
1245,0
1122,0
1252,0
1080,0
1234,0
1257,0
1126,1
1104,0
1244,0
1010,0
1162,0
1128,1
940,1
988,1
1289,1
1219,0
1185,1
1266,1
904,1
1179,1
1071,1
1042,1
1073,1
1303,1
1282,0
1200,1
1131,1
1306,1
1134,0
1088,1
1263,1
1206,1
1144,0
1164,1
1208,0
1033,1
1198,1
1109,0
1292,1
1216,1
967,0
1110,1
1299,0
966,1
973,0
1048,1
1006,1
1094,0
1076,1
1034,0
956,1
951,1
1267,1
916,1
945,1
961,1
1235,1
